00000000:Fri Feb 24 11:21:26 2006--> (ERROR) Could not create DirectSound performance object.
00000001:Fri Feb 24 11:21:26 2006--> (ERROR) Sound Driver initialization failed!
00000002:Fri Feb 24 11:21:26 2006--> (ERROR) Auto driver's init failed.
00000346:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000347:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000348:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000349:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000350:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000351:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000352:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000353:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000354:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000355:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000356:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000357:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000358:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000359:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000360:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000361:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000362:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000363:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000364:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000365:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000366:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000367:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000368:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000369:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000370:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000371:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000372:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000373:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000374:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000375:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000376:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000377:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000378:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000379:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000380:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000381:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000382:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000383:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000384:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000385:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000386:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000387:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000388:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000389:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000390:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000391:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000392:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000393:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000394:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000395:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000396:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000397:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000398:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000399:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000400:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000401:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000402:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000403:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000404:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000405:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000406:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000407:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000408:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000409:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000410:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000411:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000412:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000413:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000414:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000415:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000416:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000417:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000418:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000419:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000420:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000421:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000422:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000423:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000424:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000425:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000426:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000427:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000428:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000429:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000430:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000431:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000432:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000433:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000434:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000435:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000436:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000437:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000438:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000439:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000440:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000441:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000442:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000443:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000444:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000445:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000446:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000447:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000448:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000449:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000450:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000451:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000452:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000453:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000454:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000455:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000456:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000457:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000458:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000459:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000460:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000461:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000462:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000463:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000464:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000465:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000466:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000467:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000468:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000469:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000470:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000471:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000472:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000473:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000474:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000475:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000476:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000477:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000478:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000479:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000480:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000481:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000482:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000483:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000484:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000485:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000486:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000487:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000488:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000489:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000490:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000491:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000492:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000493:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000494:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000495:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000496:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000497:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000498:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000499:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000500:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000501:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000502:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000503:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000504:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000505:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000506:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000507:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000508:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000509:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000510:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000511:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000512:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000513:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000514:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000515:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000516:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000517:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000518:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000519:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000520:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000521:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000522:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000523:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000524:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000525:Fri Feb 24 11:21:57 2006--> (ERROR) Could not flip swap chain!
00000526:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000527:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000528:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000529:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000530:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000531:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000532:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000533:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000534:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000535:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000536:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000537:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000538:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000539:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000540:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000541:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000542:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000543:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000544:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000545:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000546:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000547:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000548:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000549:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000550:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000551:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000552:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000553:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000554:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000555:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000556:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000557:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000558:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000559:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000560:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000561:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000562:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000563:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000564:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000565:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000566:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000567:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000568:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000569:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000570:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000571:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000572:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000573:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000574:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000575:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000576:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000577:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000578:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000579:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000580:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000581:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000582:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000583:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000584:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000585:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000586:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000587:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000588:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000589:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000590:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000591:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000592:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000593:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000594:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000595:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000596:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000597:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000598:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000599:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000600:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000601:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000602:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000603:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000604:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000605:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000606:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000607:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000608:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000609:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000610:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000611:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000612:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000613:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000614:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000615:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000616:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000617:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000618:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000619:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000620:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000621:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000622:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000623:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000624:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000625:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000626:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000627:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000628:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000629:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000630:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000631:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000632:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000633:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000634:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000635:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000636:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000637:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000638:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000639:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000640:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000641:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000642:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000643:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000644:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000645:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000646:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000647:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000648:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000649:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000650:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000651:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000652:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000653:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000654:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000655:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000656:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000657:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000658:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000659:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000660:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000661:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000662:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000663:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000664:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000665:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000666:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000667:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000668:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000669:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000670:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000671:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000672:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000673:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000674:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000675:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000676:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000677:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000678:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000679:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000680:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000681:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000682:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000683:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000684:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000685:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000686:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000687:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000688:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000689:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000690:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000691:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
